gene,log2fc,pval,neg_log10_pval
'NTPCR',1.4546706171735826,9.331211919760799e-33,32.030061947262745
'STMN1',1.4541186651795557,3.223813764761017e-47,46.49163005473071
'ACAT2',1.4540621662181308,1.1416279851897839e-30,29.94247539372616
'CCT4',1.4525719780199806,6.894911592083761e-71,70.16147129806193
'GSTM4',1.4524390562481708,4.98797766774146e-21,20.30207549961979
'GCAT',1.4521150921721009,1.6699362995861122e-12,11.777300094879891
'PTTG1',1.4473358129411236,9.367960105319891e-38,37.028354967431454
'UPP1',1.4470208933515545,6.344833172135095e-34,33.197579792540694
'NOL3',1.4428553600834917,5.504050447556641e-23,22.259317594213847
'KRT6C',1.4423185393113271,1.1700554369597873e-54,53.931793560992844
'AHCY',1.4404989939832675,9.960436694925152e-40,39.00172162040776
'KIF22',1.438002845904308,8.581704059688844e-26,25.06642646620281
'RALB',1.4368202766453826,2.0593429879947813e-47,46.686271314679594
'PGD',1.4366749061539095,3.6861007207766796e-43,42.43343280208496
'CENPW',1.4365538328177034,1.8789879824419134e-20,19.72607599753431
'TXNDC9',1.4355300767998511,1.0517854193467765e-35,34.97807285400281
'TNFAIP1',1.4337366072676556,1.4194416538305665e-37,36.84788245445211
'SF3A3',1.4330830575933842,5.081549551480443e-44,43.29400383514884
'HTATIP2',1.4315202022302256,3.450339298264794e-53,52.462138195327135
'AKR1B10',1.4313458916272839,2.195157891133567e-19,18.658534236796836
'VRK2',1.4299812036281012,6.484385813027094e-37,36.18813115306413
'C12orf45',1.4295650358249872,5.770638465837059e-22,21.238776133664018
'FADD',1.4275398037823788,3.3648923304081264e-31,30.47302882774245
'VSNL1',1.426148774697639,9.948988538083286e-40,39.00222106947112
'IDH1',1.425304246569472,7.66474639425595e-46,45.1155022102026
'CKS1B',1.425232191510047,2.827916020023895e-44,43.54853349182767
'DUSP12',1.4250847095307337,2.760083260994331e-24,23.55907781675906
'GJB6',1.4248236500171936,1.424476298473652e-23,22.846344772488205
'EXOSC4',1.4241522081048525,2.4967580408777084e-38,37.602623542792095
'ARL2BP',1.4241467879864806,9.38942668044086e-33,32.02736092499932
'COMMD5',1.423478683925803,1.2963638362323538e-27,26.88727309268441
'MRPS9',1.4232060991759037,1.4398327533680403e-27,26.841687951312878
'TOMM34',1.4218584777978502,1.1466808898618953e-21,20.940557425214795
'BOLA3',1.421748341060429,4.3146444026116876e-41,40.36505499145452
